 year |   pickup_datetime   
 2008 | 2008-12-31 23:23:50
 2008 | 2008-12-31 23:23:52
 2008 | 2008-12-31 23:23:55
 2008 | 2008-12-31 23:24:14
 2008 | 2008-12-31 23:24:37
 2008 | 2008-12-31 23:24:52
 2008 | 2008-12-31 23:25:07
 2008 | 2008-12-31 23:25:18
 2008 | 2008-12-31 23:25:32
 2008 | 2008-12-31 23:25:50
 2008 | 2008-12-31 23:26:54
 2008 | 2008-12-31 23:26:54
 2008 | 2008-12-31 23:26:59
 2008 | 2008-12-31 23:27:07
 2008 | 2008-12-31 23:27:19
 2008 | 2008-12-31 23:27:32
 2008 | 2008-12-31 23:27:49
 2008 | 2008-12-31 23:27:51
 2008 | 2008-12-31 23:27:52
 2008 | 2008-12-31 23:27:56
 2008 | 2008-12-31 23:28:00
 2008 | 2008-12-31 23:28:13
 2008 | 2008-12-31 23:28:15
 2008 | 2008-12-31 23:28:56
 2008 | 2008-12-31 23:29:04
 2008 | 2008-12-31 23:29:13
 2008 | 2008-12-31 23:29:20
 2008 | 2008-12-31 23:29:27
 2008 | 2008-12-31 23:29:36
 2008 | 2008-12-31 23:30:14
 2008 | 2008-12-31 23:30:36
 2008 | 2008-12-31 23:30:42
 2008 | 2008-12-31 23:30:56
 2008 | 2008-12-31 23:30:59
 2008 | 2008-12-31 23:31:16
 2008 | 2008-12-31 23:31:42
 2008 | 2008-12-31 23:31:45
 2008 | 2008-12-31 23:32:48
 2008 | 2008-12-31 23:34:04
 2008 | 2008-12-31 23:34:39
 2008 | 2008-12-31 23:35:10
 2008 | 2008-12-31 23:35:43
 2008 | 2008-12-31 23:36:25
 2008 | 2008-12-31 23:36:33
 2008 | 2008-12-31 23:36:43
 2008 | 2008-12-31 23:36:45
 2008 | 2008-12-31 23:36:53
 2008 | 2008-12-31 23:37:20
 2008 | 2008-12-31 23:37:49
 2008 | 2008-12-31 23:37:55
 2008 | 2008-12-31 23:38:06
 2008 | 2008-12-31 23:38:18
 2008 | 2008-12-31 23:38:20
 2008 | 2008-12-31 23:38:39
 2008 | 2008-12-31 23:38:54
 2008 | 2008-12-31 23:39:20
 2008 | 2008-12-31 23:40:17
 2008 | 2008-12-31 23:40:28
 2008 | 2008-12-31 23:40:34
 2008 | 2008-12-31 23:40:49
 2008 | 2008-12-31 23:41:54
 2008 | 2008-12-31 23:42:09
 2008 | 2008-12-31 23:43:40
 2008 | 2008-12-31 23:44:20
 2008 | 2008-12-31 23:44:23
 2008 | 2008-12-31 23:45:13
